id,free_text
train_aaqepcrths,"Tôi không hối hận về mọi thứ tôi đã làm .
Tôi chỉ buồn khi mọi chuyện không như tôi suy nghĩ . .
Đã cố gắng - đã học cách chấp nhận .
nhưng mà tôi vẫn có phút yếu lòng. .
#Cuộc đời này đã làm tôi mệt . .
Ngồi lên xe lướt trong Gió có lẽ sẽ trôi bớt đi Buồn phiền .
- Tâm sự của 1 người Tuổi 18+😊.
/By city Nha Trang .  <URL> Photos from Thái Thiên Di's post"
train_aastrckdwe,"Hai tháng nữa  là tròn một năm , giã từ nghiệp buôn bán  tui sẽ thực sự quay về vui với các em lan . Thôi thì ăn muối mà được ngắm các em còn hơn ăn thịt mà lòng trĩu nặng ưu phiền .  <URL>"
train_aaulhgcbbc,Nắng Ánh Hồng lại nịnh thối đấy :))) cái đồ quỷ sứ!
train_aaveiwrnyn,Mới  xong 1/3 khu vườn  cho bé yêu  mà  thấy  mê  quá Tinh Tran Xuan is with Tống Thị Huyền. <URL> Photos from Tinh Tran Xuan's post
train_aavyhveuip,Đi du lịch giảm xì chét.... Thiện Diệu is with Niếu Đổi Tên. <URL> Photos from Thiện Diệu's post
train_aawrjnpzcy,"Chạy đâu cho khỏi mưa rào.
Thông minh cho lắm.
Yêu Vào Cũng NGu  <URL>"
train_aawwdlieng,Chu Huyền Trang mình tuyển ca sáng nha
train_aaxswmxlug,Quỳnh NhưNgọc Anh Lanh Chanh haha đúng vl
train_aaylicmcsa,"Shop về chuyến cuối ae nhé ! .
Mặc Hè thì quá tuyệt luôn ! .
Giá ngon bổ rẻ ! Đặng Trung Đức added 4 new photos — feeling fantastic at Hàng Hiệu Authentic. <URL> Photos from Đặng Trung Đức's post"
train_aaymonwtjd,"🎀 NEW NEW 🎀.
Cao 7p nha cả nhà. Gót đính chanh sả lắm mấy chế ui Bảo Trân added 4 new photos. <URL> Photos from Bảo Trân's post"
train_aaywialasu,Vkl :((
train_abanxammhk,Đéo lấy vợ nữa đâu = \) \)
train_abaowrqwio,Tội anh trai của tui vl
train_abbuikhbuj,"Hai Còii shared a post. <URL> Thanh Mai .
 Thử một lần chơi lớn xem thiên hạ có trầm trồ 😥 .
.
Vụ việc diễn ra lúc 15:01 ngõ hoàng quý lê chân hải phòng ....."
train_abcjwddjum,HPBD Na của Út 🎂🎂🎂🎂🎂  <URL> Photos from Thúy Thân Thiện's post
train_abcsvogoxb,Cục nợ Trần Thu Hương is with Nhi Lê.
train_abdcikuomi,"₫m chúng m.. Truyền Lào <URL> Tom Vlogs .
 Công nghệ làm sữa giả.."
train_abdjpogcgb,"""Muốn tránh thất nhân tâm và giao tiếp – xử thế đắc nhân tâm thì phải luyện đức thu tâm"" - Hoàng Xuân Việt.
.
Có thể nói đây là cuốn sách rút kết lại những tinh hoa, triết lý sống từ các sách về học làm người nổi tiếng do các học giả uyên bác như Nguyễn Hiến Lê (Đắc Nhân Tâm), Nguyễn Duy Cần (Thuật Xử Thế Của Người Xưa) dày công biên soạn.
.
Và thú vị hơn nữa là ngoài đời thực...họ cũng là bạn bè tâm giao của nhau, cùng chung lý tưởng mong muốn truyền bá văn hóa ứng xử thu phục nhân tâm cho thế hệ tiếp theo.
.
Hãy cùng tìm đọc và cùng kiểm chứng, chiêm nghiệm những tinh hoa để lại của nhà ngôn ngữ học tài ba này bạn nhé. .
.
Thất Nhân Tâm - <URL>
.
#ThatNhanTam #HoangXuanViet #SachHocLamNguoi  <URL>"
train_abdpnrsbtk,"Cuộc sống luôn đổi thay từng ngày từng giờ, không ai trong chúng ta có thể thay đổi được điều ấy. Nhưng có một điều chúng ta có thể làm được đó là lựa chọn cách sống cho chính bản thân mình...  <URL>"
train_abeiqerdfb,"Bắp Cải Úa <URL> Nghĩ Giàu - Làm Giàu .
 Sự hiểu biết của bạn có thể bây giờ chưa cần nhưng trong những trường .
hợp cấp bách sẽ giúp đỡ được nhiều người hoặc làm nhiều điều ý nghĩa. .
.
Follow: Người Trẻ Làm Nên Nghiệp Lớn.
#adp #nguoitre #hieubiet #italkvietnam .
Nguồn: Nghĩ giàu làm giàu"
train_abeqnskulc,"Tạo Huệ Nguyên <URL> Thích Trí Huệ .
 Tối mai ngày 9/5/2019. Thầy dạy giáo lý chùa Hưng 540/23 CMT8, P11, Q3, tphcm. Lúc 19g."
train_abexukdlpc,"Vì dân Trung Hoa , vì nước Trung Quốc hả bác \? Bác xỏ lá nó vừa vừa thôi ! Ông ý mới nằm xuống thôi chứ chưa chết hẳn đâu mà bác dở cái giọng xỏ lá đấy ra ! 😂"
train_abfkzijgct,Mặn như hay vl
train_abfrzfuqcm,"Kem nhà e vẫn có sẵn nha .
Mọi người ăn alo e ship nhé .
0385492961 Dương Thu Hà <URL> Dương .
 Kem đầy tủ luôn ạ . Mọi người ăn alo e ship nhé .
10 que =50k .
20 que =90k .
1 thùng 40 que =180 .
E miễn phí ship quanh Bắc Giang nhé .
Ai ăn alo e nha .
☎️☎️0385492961☎️"
train_abfxsqitui,"🚌QUẦN JEAN SUÔNG DBG 🚌.
Jean suông dáng lửng cho chuỵ em mặc với sơ mi, phông, crop...
Chuỵ e nào ngại dáng dài thì mặc ẻm này nhé. dáng này đến mắt cá chân.
Size 26/27/28/29/30.
Màu đen/ trắng/ nâu.
Giá 390k Thương Thương Vũ added 5 new photos. <URL> Photos from Thương Thương Vũ's post"
train_abhvpptixv,tao lấy trứng dái đập hả m con lol :)))
train_abioeumhus,"Vừa đen vừa gầy - hết kỉ yếu 😌🙂 phút 9 đã thật. Trước phút thứ 9 t nhận ra lớp mình có 1 con heo 😂😂  Nguyễn Thành Đạt is feeling excited with Hoàng Thương and 6 others. <URL> Kỉ Yếu D04Q32 - ĐH.TCKT - Tp.Quảng Ngãi 2019 .
 Thực Hiện : BoOnWedding Studio Địa Chỉ : 1084 Quang Trung -Tp.Quảng Ngãi SĐT : 0967 965 565 - 0967 965 565 FB : <URL>"
train_abjabgbfrd,"Tam Si Ymt <URL> Lâm Chấn Huy .
 Tình Anh Em - Lâm Chấn Huy.
.
Sớt chia buồn vui hay những khi hoạn nạn .
Đều có anh em kề bên 👨‍👨‍👦‍👦.
#lchsongdehat #tinhanhem #tudaithienvuong"
train_abjlvrdxmn,Bom 30k 0383117753 570 p2 q5 duong tran hung dao tphcm
train_abjshaiiqg,Tắm bùn kiểu chuất vl
train_abkhyccqxq,"📝Công dụng tuyệt vời khi kết hợp : #Kem_Face_Lotion : 230k.
#Serum_Vitamin_Collagen : 200k.
  🍒 Giảm mờ nám, tàn nhang.
  🍒 Trị thâm hiệu quả .
  🍒 Giúp da trắng sáng đều màu .
  🍒 Se khít lỗ chân lông .
  🍒 Kiềm dầu hiệu quả.
  🍒 Tạo được lớp makeup hoàn hảo cho da mặt.
  🍒Có chỉ số chống nắng phù hợp mọi loại da.
📩inbox để được tư vấn sản phẩm chăm sóc da tốt nhất.
🎁Hàng luôn có sẵn.
🚛Ship hàng toàn quốc (COD).
📲0774975294 Thư Lê is with Hương Ròm and 2 others. <URL> Photos from Thư Lê's post"
train_ablludsrxc,"Maxi cotton in chữ sát nách về thêm khách nhé.
150k Nga Nana added 3 new photos. <URL> \?  Photos from Nga Nana 's post"
train_ablntglsuy,thằng này xao lol thông chốt nè mấy chú. bắt nó đi kk Huỳnh Trần <URL> Tùng . Csgt bình chánh tuổi gì đòi thổi e...thông 2 chốt muốn nín thở
train_ablwmavvpu,"Ngày đặc biệt! Cái ngày này 31 năm trước t chui ra từ bụng mẹ, thời gian quay vòng vòng, 31 năm sau thì ngày sinh dương lịch và ngày sinh âm lịch lại rơi vào  cùng 1 ngày...
Đêm qa mơ thấy mẹ về chúc mừng sinh nhật con gái của mẹ... .
và hôm nay con tự chúc mừng sinh nhật mình mẹ ạ...con nhớ mẹ vô cùng."
train_abmvxbnqdh,"Trương Hoàng Gia <URL> Báo .
 CẦN CHIA SẺ GẤP.
.
Tìm thân nhân cho cô gái trong hình. Hiện tại em đang được cách ly khu vực an ninh sân bay của Malaysia. Em ấy sang đây lao động theo rủ rê của bạn bè và giờ trong tình trạng mê sảng không nhớ được người thân gia đình. .
Theo giấy thông hành thì em ấy quê Vĩnh Long . ACE em nào hay cộng đồng chung tay giúp tìm gia đình em ấy để được về nhà vì hiện tại em ấy ko nhớ được gì nữa. Chắc rằng người thân gia đình đang rất mong chờ. .
Mọi liên lạc có thể liên lạc vs người đăng bài để liên hệ với bên Malaysia giúp em được về với gia đình. .
.
Mong ACE chia sẽ giúp gia đình em ấy được tìm thấy người thân của mình.
.
Nguồn bài : .
<URL>"
train_abnpiwmejl,"👉👉Bán hàng bằng #CÁI_TÂM 🍂🍂.
.
💕💕 khách hàng cho em không chỉ là tiền mà là #NIỀM_TIN.
.
🍊 Em bán sản phẩm em dùng 💓💓.
.
⚘ Người người dùng...an toàn và hiệu quả , xứng đáng đồng tiền bỏ ra 👍👍.
.
🍁 Nếu đã tin tưởng thì ib cho em.
🌴 Chưa tin thì tiếp tục theo dõi nhé  😍😍 Thảo Lê added 3 new photos — with Thương Lê. <URL> Photos from Thảo Lê's post"
train_abohwgtixp,34° - cảm giác như 40° chớ mấy.. chỉ số UV rất nghiêm trọng hui 🥵🥵🥵 <URL> \?  Photos from Đoàn Thị Mỹ Hạnh 's post
train_abpocwgirm,Nguyễn Tuyến mình in khoá luận xong còn 20k. Đủ cốc trà đá và điax hướng dương nha
train_abppmnftop,"Lạy Chúa xin cho con thêm.
sức mạnh để con vượt qua khó khăn hiện nay. Xin hãy đồng hành cùng con . a men."
train_abprezceda,- Khôn như tụi bây xóm tao xích đầy !  <URL>
train_abpuhliomw,Biết ai tử tế mà chọn h
train_abqcmbtrxt,t muốn cái rìu trống đồng
train_abqeetcoqy,"Trinh Hà <URL> Tàng Hìnhh .
 sad vl"
train_abqeyfwart,Lấy cm của bạn này ko bọn đầu bò lại khó hiểu rồi đi chửi người khác ngu
train_abrfhpkwqi,Thương tụi mày quá không biết tụi mày có thương tao không :(  <URL>
train_abrpglruuc,Đụ má được quyền đánh ? Lũ óc chó nó có đua bắt về tống tù nó hay tịch thu xe như đà nẳng lấy xe đâu nó đua . Mấy thằng mình người đầu chó đụ má csgt nó đạp thằng cha con đĩ mẹ mày thấy sao ? Ngu chó như thằng cứa ad
train_abrwhyxjzc,"The Duy Ha <URL> Kỳ .
 Anh Đã Chờ Em Cả Đời (ft Khon) .
Cam : Nhân.
Beat by : s u p r e m e m e"
train_abrzpbxbju,giống anh anh vl =-)))))))
train_absyipztid,Đt gấu sịn vl
train_abszyzdmmp,"Anh ơi cho em bốc bát tình.
Lãi suất này em trả bằng con timm Thư Thư updated her profile picture. <URL> Thư Thư"
train_abtagtispm,To vl :v
train_abtytnxrgn,🤣🤣🤣🤣🤣 sợ vl :))))
train_abvcknovzo,Làng xitin + gofarm buồn MGO vl
train_abvjwziwku,"Thanh Thủy posted in MUA BÁN PHAN THIẾT - BÌNH THUẬN — with Thuy Thai and 3 others. <URL> Thủy .
 🔊🔊 Hôm nay e giao sỉ nên còn dư 5 hộp chân gà xả tắc . Khách có nhu cầu ủng hộ em với nhé !!.
💸💸 50k /1 hộp (750ml) .
📞 093.705.9988 ( thủy) .
      ‭091 4958987‬ ( tuyền) .
🛵🛵 E free ship nội thành Phan thiết nha quý zị"
train_abwlrhoipd,éo.toàn gặp chuyện hãm...vl
train_acawrpvumr,"Jean ống rộng acid siêu đẹp.
Ri 21c. Khách sỉ add zalo , viber , line để update mẫu mới nhất và nhanh nhất. Chia buôn lô , slg , sỉ shop: 0979643XXX <URL> \?  Photos from Sơn Lê Thế 's post"
train_acbkirulkx,"Thảm và kệ chữ A cho các em nhỏ.
Kính mời Quý phụ huynh qua.
Nhà sách MINH CHÂU (Ngã Tư Đục Khê, Hương Sơn ).
Để mua cho con bạn.
XIn kính mời! Dung Vuong is with Trịnh Văn Thành and Vân Anh Vương. <URL> Photos from Dung Vuong's post"
train_accewomikb,"6h Box - Swing.
7h SLNA - Viettel.
8h MU đá :)))"
train_accjcvrlst,Check xong đ.án thành ngưởi tối cổ :)
train_aceprjsmvk,Bộ về 125k Diệu Thương is with Diệu Thương. <URL> Photos from Diệu Thương's post
train_acfvpfvhbz,"Tiếng anh sáng t4 của các bé lớp 3-4TA2, cùng bé ôn từ vựng về màu sắc và con vật quen thuộc nhé! Nhu Trang Nhu Trang is with Nguyễn Thị Hà at Mầm non Blue Sky. <URL> Photos from Nhu Trang Nhu Trang's post"
train_acgamvteny,"❤️ Đoàn Thị Ngọc Ánh <URL> Trân Châu Đen .
 Clip dựa trên câu chuyện của bài hát ""Độ ta không độ nàng"" .
(Link bài hát : <URL> ).
#tranchauden.
#tiktok.
#douyin"
train_acgcajyeoz,"Anh Phan  ai cũng biết nhé, mình đang đưa ra mong muốn của mình thôi mà………………"
train_acgmrurqmg,"Cô gái của tôi , cười lên em , chỉ cần em cười ! Sao em cứ cố chấp giữ mãi nơi đáy mặt một khoảng trời buồn tênh , sao em không chịu buông bỏ tiếng thở dài của một mùa thương nhớ cũ. Tuổi thanh xuân ngắn lắm em à , đừng ủ dột với những nỗi bi thương... <URL> \? "
train_acgnumahzv,"A e một nhà chớ đừng đá nhau .
2 xe có bán 1 cập có giá tốt cho a e .
Air Blade VN 2012 ngay chủ .
Vespa 3Vie 2013 ủy quyền 1.
a e thích xe nào cứ mạnh dạng alo 0909866661 09333535540  <URL> Photos from Đặng Trương Hiếu Nghĩa's post"
train_achhhkhzpi,Yên tân đi đi xe đạp thân thiện và sắp quay về thời kì đồ đá
train_acjedibtrc,Được 1 buổi tối mưa Hứa Trường <URL> \? 
train_acjiudzgsf,"Chiếu 99k chiếu lục bình 0976900889 1136 phạm văn đồng, dương kinh, hải phòng"
train_acjslbmnak,"BẠN CÓ BIẾT #DIỆP_LỤC RẤT CẦN TRONG THẾ KỶ 21 .
.
👉 thế kỷ mà chúng ta đang sống đầy dẫy những chất độc hóa học từ thực phẩm bẩn,môi trường...
.
👉 cuộc sống như 1 vòng quay cuồng căng thẳng,mệt mỏi, áp lực từ công việc,gia đình...
.
chúng ta cần những cốc nước xanh xanh như vậy để làm gì? nghiên cứu đã chứng minh diệp lục giúp THANH LỌC CƠ THỂ , ĐÀO THẢI ĐỘC TỐ, ĐIỀU HÒA CƠ THỂ và GIẢM CĂNG THẲNG, ÁP LỤC và giúp con người có TÂM TRẠNG  TỐT HƠN .
.
đặc biệt là DIỆP LỤC giúp phòng ngừa UNG THƯ , CHỐNG  VIÊM rất tốt.
.
mỗi ngày 1 cốc diệp lục là bí quyết giúp mình bảo vệ các thành viên trong gia đình có sức khỏe và cuộc sống tươi vui.
.
hãy liên hệ cho m nếu bạn cũng muốn gia đình có sức khỏe .
.
HOAI THƯƠNG.
DIỆP LỤC COLLAGEN.
DIỆP LỤC LYSINE Hoai Thương added 6 new photos. <URL> Photos from Hoai Thương's post"
train_ackwdgutsm,Đm cờ rép pi vl
train_aclczwedjb,Kim Anh ib nhân nhé ạ
train_aclsbxixbe,Chắc muốn lấy độc trị độc. Lấy ung thư trị ung thư
train_aclwgpchnd,"Iphone 6s plus 128gb.
Lâu lắm mới có lại 1em dòng 6 à, ai lấy ib nhanh nha.
Chốt sớm thì 290k thôi nạ.
Đầy đủ phụ kiện cả ốp lưng in ảnh nhoa.
Về vn thì 6 triệu 2trăm  thôi nha.
Bảo hành 3tháng ạ.
01032493263 diệu nghĩa Diệu Nghĩa is with Lee Soo. <URL> Photos from Diệu Nghĩa's post"
train_acmpgsuhju,Nhìn cô này điêu vl
train_acnybcxtag,Vũ Kim Anh m ngu lắm nói thế m éo hiểu đâu
train_acpbqppwbc,"Nguyễn Hữu Đức <URL> Yeah1 Music .
 Đôi khi rời xa là cách tốt nhất để người mình yêu hạnh phúc :(﻿.
#yeah1music #ailanguoithuongem #QuanAP #phamanhquan.
.
Song : Quân A.P | Ai Là Người Thương Em.
Link Youtube : <URL>"
train_acppqgyzjm,Dễ tin người vl
train_acpqeajyjh,Đuối như trái chuối Nguyễn Như is feeling tired.
train_acskgglfyy,Không phải tao ! Tao cào nhà mày chứ mà im lặng để mày tưởng là tao điên mà còn ngu à !
train_actazxojiq,"Trần Ngọc Tùng <URL> Tùng .
 CHỮA ĐỀ THI THỬ LẦN 06.
.
Đề này tương đối nhẹ nhàng nhỉ :))) SHARE về trước khi thầy ẩn nhé ❤.
.
__________.
Tất cả câu hỏi đều có trong Sách ""Xử lí nhanh trắc nghiệm Địa lí"" của thầy. Mua tại: www.bit.ly/XLNTNDL .
________________.
Đăng kí lớp Luyện đề trong nhóm Bí mật để giải 20 đề cực chất: <URL> .
==============.
KẾT NỐI VỚI THẦY TÙNG QUA:.
🌎 Nhận đề thi thử miễn phí: <URL>
🌎 Group học tập miễn phí: <URL>
🌎 Youtube: <URL>
🌍 Instagram: <URL>
🌏 Fanpage: <URL>
.
#dialithayTung #teamthayTung #teamthayTungchiendencung"
train_actcavpybs,"hello, add nè  :p  💞  :p"
train_acuatieoua,"Đỗ Mỹ Linh <URL> CĂN HỘ GREEN TOWN BÌNH TÂN TPHCM .
 Chính chủ cần sang nhượng căn 63m2 chính chủ,tầng 9 khối B3 đang đi vào hoàn thiện bành giao.
GIÁ: 1.7 TỶ(bao hết).
Phòng khách,2 phòng ngủ lót sàn gỗ cao cấp HQ,phòng bếp, 2 nhà vệ sinh,logia ban công....
Chi tiết dự án: www.greentown.com.vn"
train_acujmavght,Tức giận mấy thì tức giận chứ đập đồ thì coi như vứt tiền của công sức mình làm đi rồi. Ngu vc
train_acuwcxuwrx,Thiệp Dentist v~
train_acvylhyngi,"T cũng nhận thấy , t ngu vl"
train_acwkcvtkzf,Hồng Hạnh Làm đầy đủ may mắn sẽ hữu duyên.
train_acxtmlkywx,Vl thế :(((
train_acxwezskhz,"A ơi, a đã từng ........ Phi Hung Vu"
train_acyothilvb,Thề là mình né skill khét vl
train_adacfgznoc,"Thính thính.
Thả thính đêm khuya.
Ace đặt hàng đi e ship ngay cho.
😘😘😘👻👻👻  <URL> Photos from Đặng Minh Thu's post"
train_adacmmwvqx,Phicasso Tong ba y tan cong canh sat truoc chu nguoi ta dau dinh bat ba y dau
train_adaxphyril,"Lướt new feed toàn khách xinhh.
.
#lens #phukien #bomtoc #caitoc #keptoc #cottoc #bongtai #vongco #vongtay #chocker #tagao #mu #non #kinhmat #kinhcan #donghogiare #HQuoc #QChau #hottrend Bùi Huỳnh Thư added 2 new photos. <URL> Photos from Bùi Huỳnh Thư's post"
train_adayprucoo,lại một đêm khó quên
train_adbryadyzu,"Võ Y Bình <URL> Yeah1 Music .
 Đôi khi rời xa là cách tốt nhất để người mình yêu hạnh phúc :(﻿.
#yeah1music #ailanguoithuongem #QuanAP #phamanhquan.
.
Song : Quân A.P | Ai Là Người Thương Em.
Link Youtube : <URL>"
train_adbvdwjlhg,Vhgt Minh ủa đúng luôn chứ còn gì nữa 😂 thích cãi à Lê Huỳnh Yến Nhi
train_adcceeqsyx,Sư nước ng ta như phật. Còn chùa bên mình sắp đổi tên thành công ty rồi
train_adcyyorrjy,"chúc cu snvv , hp và thành công nha. có cắt bánh sn nhớ gọi chị nhé.hihi <URL> \? "
train_addbfdkknw,"Livestream. 20H30.
Câu chuyện thành công Senior Manager - Dư Thị Mỹ Ngọc.
"" Một câu chuyện đáng giá 10.000 dữ kiện "". Cách để bạn thành công đó là học & làm theo con đường của người thành công.
Cùng tham gia buổi chia sẻ 30p câu chuyện thành công tối nay anh chị nhé. — với Ngọc Kim Cương.Thông báo nhóm nhé Đỗ Thị Hoa Hải Ngọc May Mắni Bảo Loan Bảo Bảo Le Thuy Pham Thanhthuy Bui Xoa Bùi  <URL>"
train_adejfmdtop,Gia Cát Lượng đm có link đéo share cho ae à !!
train_adwfveyfqh,Đm mấy thằng trộm chúng m hay lắm . Bố vớ đc thì xác định đi .lấy đt bố mày mấy con chó .
train_adxybtmhat,Nguyễn Khánh Linh đéo làm nữa.🙂 dỗi vl
train_adypnvaoif,Tao cũng định buôn. Mà lúc đó đang ở ngoài đường tao mà buông thì đéo còn miếng vãi che thân.
train_aeikqevdgt,"Liễu Lam Lam ôi đm.
Tao cũng thấy mk đẹp vl"
train_aemooevedi,Nó giết bốn tỉnh miền trung chả làm được gì! Nó đặp vô mồm là xong! Nó sẽ giết chết từ từ! Trên đời này không ai mà dại rước độc thãi về nhà! Ngu cả lũ
train_afilyjwnre,vô dụng vl :v
train_afqgfasjer,Vũ Văn Tiến đéo phải là ngu ms hỏi mà hỏi viết bài ngu
train_agywlnuxwl,Kuku Hiển cho cái cc vào mồm mà đéo hiểu. Ngu nhỉ
train_ajhkkljucl,Jung Ngọc nhạt vl :)
train_ajmbbxvrcf,Hãm vcl :)))
train_ajmbsdfvcd,Uyên Phương giận vl :)
train_ajorocsmvo,"t đây, có môn đ cần ôn vẫn qua môn, nể t vl :))"
train_ajtnmzlxxy,Matcha phủ kem tuyết đm uống phê vl
train_akkngmqrqa,"Hồng Ngát Dm,cứu t, hài vl:)))))))"
train_aknimlwrxn,Chịch ỉa chịch ăn :)) kinh khủng vl
train_aknomzatje,Nó mà kh kiểm soát hoặc kh ghen thì có nghĩa là nó đéo iu mày đấy thằng ngu ạ
train_akyhztcxxv,"Nói bao lần rồi, tao ko phải mẹ chúng mày, nát hết Vú tao rồi huhuu  <URL>"
train_alattiavti,"T nghi ngờ thằng bạn m tình báo kích đểu nên con kia mới kiểm tra ví.
Bạn m chơi chó vs m thôi"
train_alryrhtemy,Cục cằn. Cục xúc. Đéo biết nghĩ trước khi hành động.
train_amceptneox,"Mẹ, bán được 100 tớ mời muốn gãy lưỡi, lết cặp giò rã rời, bán 3000 tờ.. Ha ha đúng là giọng điệu của thằng ngu như con lợn.."
train_ammkuaxhey,Đm tính tui kệ tui
train_amyukmaxcc,cư học cát lính hàdong mà lam tiền của dân cư thế mà cho dân  toàn ngu
train_anhlkrkwnt,You sút đai :v đuỹ choá
train_ankprjymzs,Năm đ nào cũng vậy.  Chán vl
train_annvtkahcg,"Tới tận bây giờ, bọn man đần vẫn ảo tưởng về suất dự cham pơ lít :3"
train_antyagscex,Louis's Hoàng  má dortmunt cay vl
train_aokehbuxwm,Thằng già chó chết
train_apclojnzge,Trung Thu nhùn mặt mày hãm vãi lol
train_aredqgqwaq,Đm cằm nhìn sợ vl
train_armfpwzvzs,"Thảo Vy mẹ, nch ngu vl"
train_arnkmxtauz,Đm tội Tùng Sói vl
train_arraktwtad,Lợi thì được lợi nhưng răng không còn thằng chó ngu
train_arxbwdpfbl,Kiểu này phải đập chết chó và đấm vỡ mồm thằng nuôi chó
train_asyjflyijd,Ns thật chứ thấy com boss này hãm vl :vvvv
train_aumwdiheyf,Bùi Thiêm  Nước bạn ? Riêng cái bọn phân biệt vùng miền trên thế giới này đa phần là bọn cặn bã . Bọn tao cũng có xin của chúng mày cái gì đâu . Lũ bại hoại nói chuyện vừa ngu vừa óc lợn
train_avpreqshlk,đúng là vl tao đá luôn vào mồm thằng đó ngu ko biết đối nhan xử thế ngu nhu chó
train_avtukydhkg,"Khải Trần vậy cái đám 3/ tụi bây thu nhập bao nhiêu, đóng thuế thấp, ăn thuế của người đóng nhiều hơn mà cũng vinh hạnh à. Đm đến lạy cái lũ óc chó tụi bây"
train_awbkbkycdq,được xem con trâu ỉa phê vl
train_awbnxqddey,Nói về trận đấu đấy thì liên quan cl gì đến CR7 hả thằng ngu ?
train_awcmsvcxtb,Hưng Nguyễn Viết bệnh vl hjxxx
train_awctkpqfwl,Chỉ cần bà may qua được khoảng thời gian này thôi  thì địt mẹ mày ĐỜI ạ. Mày tuổi loz 😒  <URL>
train_awfumbhpsa,Cái đéo gì mà sến vl :))))
train_axbtklqkqt,Ông nào lên tiếng nhượng lại cho ông đi bán vé số. Để ghế lại cho người khác cơ hội. Nói ngu như chó
train_axdcaxhmqw,Trọng Thuỷ :)) noa lại hợp lí vl
train_axgxiwurkf,Con này trước cưới nó có người yêu rồi. Nên chia tay mới lấy thằng này vì hai bên gia đình thôi. Nhưng kết của nó có hậu về nó đi.t không trượt phát nào. Đó là thằng bạn tao còn thằng này tao đéo biết.
train_axzozjbute,Đụ ad sẽ thành fan cứng
train_ayiyxfvuxt,"Trang Nhỏ  đm thề nhìn ảnh này xong nhìn ảnh bìa , bực vl :(("
train_azlufvndxw,Ủa m ông cố nội ngta hả mà k cho coi. Trường giang dẫn ct như cứt. Ăn nói vô duyên. Suốt ngày móc méo đá xoáy ng khác. Chã có kiến thức chuyên môn cmg. Bây h còn chả thèm diễn hài mà làm mc luôn mặc dù nc vô duyên vcl ra
train_azmjniytdc,báo nói phet. gà to vậy 1 lần chỉ lấy 20 con là căng. 11 lằn chỉ lấy 220con. 1400 ông nội nhà mày củng ko vác đuọc. tổ cha thằng nhà báo nói phét
train_azzypvcqxd,Nguyễn Hữu Lực mẹ cái kiểu mà :)) này chỉ có mày th lol ạ  <URL>
train_babutuezri,Bò Đỏ? Hiểu chữ bò đỏ là gì không? Thể loại này nêu ko phải 3/ thì chỉ có đú đỡn thôi chứ biết cc gì? Ai coi TQ là đồng chí tốt? Xem lại cách ăn nói và tìm hiểu thêm về kiến thức chính trị đi không khéo bị chửi ngu như bò
